"2023 SEASON SCHEDULE"
"IPLT20.COM"
"MATCH   MATCH"
"DAY        DATE              TIME             HOME TEAM                             AWAY TEAM                              VENUE"
"DAY     NO."
""
"1       1       Fri        31-Mar-23         7:30 PM          Gujarat Titans                        Chennai Super Kings                    Ahmedabad"
"2       2       Sat        01-Apr-23         3:30 PM          Punjab Kings                          Kolkata Knight Riders                  Mohali"
"2       3       Sat        01-Apr-23         7:30 PM          Lucknow Super Giants                  Delhi Capitals                         Lucknow"
"3       4       Sun        02-Apr-23         3:30 PM          Sunrisers Hyderabad                   Rajasthan Royals                       Hyderabad"
"3       5       Sun        02-Apr-23         7:30 PM          Royal Challengers Bangalore           Mumbai Indians                         Bengaluru"
"4       6       Mon        03-Apr-23         7:30 PM          Chennai Super Kings                   Lucknow Super Giants                   Chennai"
"5       7       Tue        04-Apr-23         7:30 PM          Delhi Capitals                        Gujarat Titans                         Delhi"
"6       8       Wed        05-Apr-23         7:30 PM          Rajasthan Royals                      Punjab Kings                           Guwahati"
"7       9       Thu        06-Apr-23         7:30 PM          Kolkata Knight Riders                 Royal Challengers Bangalore            Kolkata"
"8       10      Fri        07-Apr-23         7:30 PM          Lucknow S uper Giants                 Sunrisers Hyderabad                    Lucknow"
"9       11      Sat        08-Apr-23         3:30 PM          Rajasthan Royals                      Delhi Capitals                         Guwahati"
"9       12      Sat        08-Apr-23         7:30 PM          Mumbai Indians                        Chennai Super Kings                    Mumbai"
"10      13      Sun        09-Apr-23         3:30 PM          Gujarat Titans                        Kolkata Knight Riders                  Ahmedabad"
"10      14      Sun        09-Apr-23         7:30 PM          Sunrisers Hyderabad                   Punjab Kings                           Hyderabad"
"11      15      Mon        10-Apr-23         7:30 PM          Royal Challengers Bangalore           Lucknow Super Giants                   Bengaluru"
"12      16      Tue        11-Apr-23         7:30 PM          Delhi Capitals                        Mumbai Indians                         Delhi"
"13      17      Wed        12-Apr-23         7:30 PM          Chennai S uper Kings                  Rajasthan Royals                       Chennai"
"14      18      Thu        13-Apr-23         7:30 PM          Punjab Kings                          Gujarat Titans                         Mohali"
"15      19      Fri        14-Apr-23         7:30 PM          Kolkata Knight Riders                 Sunrisers Hyderabad                    Kolkata"
"16      20      S at       15-Apr-23         3:30 PM          Royal Challengers Bangalore           Delhi Capitals                         Bengaluru"
"16      21      Sat        15-Apr-23         7:30 PM          Lucknow Super Giants                  Punjab Kings                           Lucknow"
"17      22      Sun        16-Apr-23         3:30 PM          Mumbai Indians                        Kolkata Knight Riders                  Mumbai"
"17      23      Sun        16-Apr-23         7:30 PM          Gujarat Titans                        Rajasthan Royals                       Ahmedabad"
"18      24      Mon        17-Apr-23         7:30 PM          Royal Challengers Bangalore           Chennai Super Kings                    Bengaluru"
"19      25      Tue        18-Apr-23         7:30 PM          S unrisers Hyderabad                  Mumbai Indians                         Hyderabad"
"20      26      Wed        19-Apr-23         7:30 PM          Rajasthan Royals                      Lucknow S uper Giants                  Jaipur"
"21      27      Thu        20-Apr-23         3:30 PM          Punjab Kings                          Royal Challengers Bangalore            Mohali"
"21      28      Thu        20-Apr-23         7:30 PM          Delhi Capitals                        Kolkata Knight Riders                  Delhi"
"22      29      Fri        21-Apr-23         7:30 PM          Chennai Super Kings                   Sunrisers Hyderabad                    Chennai"
"23      30      Sat        22-Apr-23         3:30 PM          Lucknow Super Giants                  Gujarat Titans                         Lucknow"
"23      31      Sat        22-Apr-23         7:30 PM          Mumbai Indians                        Punjab Kings                           Mumbai"
"24      32      Sun        23-Apr-23         3:30 PM          Royal Challengers Bangalore           Rajasthan Royals                       Bengaluru"
"24      33      Sun        23-Apr-23         7:30 PM          Kolkata Knight Riders                 Chennai S uper Kings                   Kolkata"
"25      34      Mon        24-Apr-23         7:30 PM          Sunrisers Hyderabad                   Delhi Capitals                         Hyderabad"
"26      35      Tue        25-Apr-23         7:30 PM          Gujarat Titans                        Mumbai Indians                         Ahmedabad"
