"2024 SEASON SCHEDULE"
"IPLT20.COM"
"MATCH            MATCH"
"DATE          DAY         TIME                       HOME                                        AWAY                     STADIUM"
"NO               DAY"
"1                 1       22-Mar-24         Fri       8:00PM     Chennai Super Kings                        Royal Challengers Bengaluru            Chennai"
"2                 2       23-Mar-24        Sat        3:30PM     Punjab Kings                               Delhi Capitals                         Mullanpur"
"3                 2       23-Mar-24        Sat        7:30PM     Kolkata Knight Riders                      Sunrisers Hyderabad                    Kolkata"
"4                 3       24-Mar-24        Sun        3:30PM     Rajasthan Royals                           Lucknow Super Giants                   Jaipur"
"5                 3       24-Mar-24        Sun        7:30PM     Gujarat Titans                             Mumbai Indians                         Ahmedabad"
"6                 4       25-Mar-24        Mon        7:30PM     Royal Challengers Bengaluru                Punjab Kings                           Bengaluru"
"7                 5       26-Mar-24        Tue        7:30PM     Chennai Super Kings                        Gujarat Titans                         Chennai"
"8                 6       27-Mar-24        Wed        7:30PM     Sunrisers Hyderabad                        Mumbai Indians                         Hyderabad"
"9                 7       28-Mar-24        Thu        7:30PM     Rajasthan Royals                           Delhi Capitals                         Jaipur"
"10                 8       29-Mar-24         Fri       7:30PM     Royal Challengers Bengaluru                Kolkata Knight Riders                  Bengaluru"
"11                 9       30-Mar-24        Sat        7:30PM     Lucknow Super Giants                       Punjab Kings                           Lucknow"
"12                10       31-Mar-24        Sun        3:30PM     Gujarat Titans                             Sunrisers Hyderabad                    Ahmedabad"
"13                10       31-Mar-24        Sun        7:30PM     Delhi Capitals                             Chennai Super Kings                    Visakhapatnam"
"14                11       01-Apr-24        Mon        7:30PM     Mumbai Indians                             Rajasthan Royals                       Mumbai"
"15                12       02-Apr-24        Tue        7:30PM     Royal Challengers Bengaluru                Lucknow Super Giants                   Bengaluru"
"16                13       03-Apr-24        Wed        7:30PM     Delhi Capitals                             Kolkata Knight Riders                  Visakhapatnam"
"17                14       04-Apr-24        Thu        7:30PM     Gujarat Titans                             Punjab Kings                           Ahmedabad"
"18                15       05-Apr-24         Fri       7:30PM     Sunrisers Hyderabad                        Chennai Super Kings                    Hyderabad"
"19                16       06-Apr-24        Sat        7:30PM     Rajasthan Royals                           Royal Challengers Bengaluru            Jaipur"
"20                17       07-Apr-24        Sun        3:30PM     Mumbai Indians                             Delhi Capitals                         Mumbai"
"21                17       07-Apr-24        Sun        7:30PM     Lucknow Super Giants                       Gujarat Titans                         Lucknow"
"22                18       08-Apr-24        Mon        7:30PM     Chennai Super Kings                        Kolkata Knight Riders                  Chennai"
"23                19       09-Apr-24        Tue        7:30PM     Punjab Kings                               Sunrisers Hyderabad                    Mullanpur"
"24                20       10-Apr-24        Wed        7:30PM     Rajasthan Royals                           Gujarat Titans                         Jaipur"
"25                21       11-Apr-24        Thu        7:30PM     Mumbai Indians                             Royal Challengers Bengaluru            Mumbai"
"26                22       12-Apr-24         Fri       7:30PM     Lucknow Super Giants                       Delhi Capitals                         Lucknow"
"27                23       13-Apr-24        Sat        7:30PM     Punjab Kings                               Rajasthan Royals                       Mullanpur"
"28                24       14-Apr-24        Sun        3:30PM     Kolkata Knight Riders                      Lucknow Super Giants                   Kolkata"
"29                24       14-Apr-24        Sun        7:30PM     Mumbai Indians                             Chennai Super Kings                    Mumbai"
